After 10500 sentences: Train Accuracy = 0.9660, Dev Accuracy = 0.8077, Time = 3.39s, Estimated Time Left = 30.40s
After 11000 sentences: Train Accuracy = 0.9655, Dev Accuracy = 0.8086, Time = 3.39s, Estimated Time Left = 27.02s
After 11500 sentences: Train Accuracy = 0.9608, Dev Accuracy = 0.8086, Time = 3.38s, Estimated Time Left = 23.60s
After 12000 sentences: Train Accuracy = 0.9532, Dev Accuracy = 0.8129, Time = 3.38s, Estimated Time Left = 20.21s
After 12500 sentences: Train Accuracy = 0.9605, Dev Accuracy = 0.8161, Time = 3.38s, Estimated Time Left = 16.83s
After 13000 sentences: Train Accuracy = 0.9883, Dev Accuracy = 0.8173, Time = 3.38s, Estimated Time Left = 13.45s
After 13500 sentences: Train Accuracy = 0.9642, Dev Accuracy = 0.8183, Time = 3.38s, Estimated Time Left = 10.07s
After 14000 sentences: Train Accuracy = 0.9717, Dev Accuracy = 0.8186, Time = 3.38s, Estimated Time Left = 6.68s
After 14500 sentences: Train Accuracy = 0.9795, Dev Accuracy = 0.8167, Time = 3.38s, Estimated Time Left = 3.29s
After 15000 sentences: Train Accuracy = 0.9743, Dev Accuracy = 0.8204, Time = 3.38s, Estimated Time Left = -0.09s
Epoch 2: Train Loss = 9.3408, Dev Loss = 30.1536
Epoch 2: Loss = 30.1536
After 500 sentences: Train Accuracy = 0.9545, Dev Accuracy = 0.8222, Time = 3.40s, Estimated Time Left = 98.53s
After 1000 sentences: Train Accuracy = 0.9873, Dev Accuracy = 0.8227, Time = 3.37s, Estimated Time Left = 94.34s
After 1500 sentences: Train Accuracy = 0.9694, Dev Accuracy = 0.8232, Time = 3.37s, Estimated Time Left = 90.95s
After 2000 sentences: Train Accuracy = 0.9850, Dev Accuracy = 0.8228, Time = 3.37s, Estimated Time Left = 87.57s
After 2500 sentences: Train Accuracy = 0.9783, Dev Accuracy = 0.8210, Time = 3.35s, Estimated Time Left = 83.58s
After 3000 sentences: Train Accuracy = 0.9752, Dev Accuracy = 0.8211, Time = 3.35s, Estimated Time Left = 80.43s
After 3500 sentences: Train Accuracy = 0.9770, Dev Accuracy = 0.8256, Time = 3.35s, Estimated Time Left = 76.87s
After 4000 sentences: Train Accuracy = 0.9848, Dev Accuracy = 0.8224, Time = 3.34s, Estimated Time Left = 73.30s
After 4500 sentences: Train Accuracy = 0.9910, Dev Accuracy = 0.8222, Time = 3.34s, Estimated Time Left = 70.00s
After 5000 sentences: Train Accuracy = 0.9929, Dev Accuracy = 0.8238, Time = 3.35s, Estimated Time Left = 66.90s
After 5500 sentences: Train Accuracy = 0.9828, Dev Accuracy = 0.8245, Time = 3.36s, Estimated Time Left = 63.82s
After 6000 sentences: Train Accuracy = 0.9854, Dev Accuracy = 0.8235, Time = 3.36s, Estimated Time Left = 60.40s
After 6500 sentences: Train Accuracy = 0.9900, Dev Accuracy = 0.8228, Time = 3.37s, Estimated Time Left = 57.17s
After 7000 sentences: Train Accuracy = 0.9825, Dev Accuracy = 0.8215, Time = 3.37s, Estimated Time Left = 53.84s
After 7500 sentences: Train Accuracy = 0.9829, Dev Accuracy = 0.8231, Time = 3.37s, Estimated Time Left = 50.42s
After 8000 sentences: Train Accuracy = 0.9788, Dev Accuracy = 0.8256, Time = 3.37s, Estimated Time Left = 47.03s
After 8500 sentences: Train Accuracy = 0.9864, Dev Accuracy = 0.8241, Time = 3.36s, Estimated Time Left = 43.64s
After 9000 sentences: Train Accuracy = 0.9898, Dev Accuracy = 0.8248, Time = 3.36s, Estimated Time Left = 40.22s
After 9500 sentences: Train Accuracy = 0.9948, Dev Accuracy = 0.8222, Time = 3.36s, Estimated Time Left = 36.89s
After 10000 sentences: Train Accuracy = 0.9744, Dev Accuracy = 0.8259, Time = 3.36s, Estimated Time Left = 33.50s
After 10500 sentences: Train Accuracy = 0.9872, Dev Accuracy = 0.8240, Time = 3.36s, Estimated Time Left = 30.13s
After 11000 sentences: Train Accuracy = 0.9845, Dev Accuracy = 0.8238, Time = 3.35s, Estimated Time Left = 26.75s
After 11500 sentences: Train Accuracy = 0.9860, Dev Accuracy = 0.8238, Time = 3.35s, Estimated Time Left = 23.37s
After 12000 sentences: Train Accuracy = 0.9875, Dev Accuracy = 0.8226, Time = 3.35s, Estimated Time Left = 20.02s
After 12500 sentences: Train Accuracy = 0.9875, Dev Accuracy = 0.8229, Time = 3.35s, Estimated Time Left = 16.67s
After 13000 sentences: Train Accuracy = 0.9929, Dev Accuracy = 0.8229, Time = 3.35s, Estimated Time Left = 13.33s
After 13500 sentences: Train Accuracy = 0.9964, Dev Accuracy = 0.8220, Time = 3.35s, Estimated Time Left = 9.98s
After 14000 sentences: Train Accuracy = 0.9914, Dev Accuracy = 0.8231, Time = 3.35s, Estimated Time Left = 6.62s
After 14500 sentences: Train Accuracy = 0.9878, Dev Accuracy = 0.8249, Time = 3.36s, Estimated Time Left = 3.27s
After 15000 sentences: Train Accuracy = 0.9895, Dev Accuracy = 0.8245, Time = 3.36s, Estimated Time Left = -0.09s
Epoch 3: Train Loss = 4.8959, Dev Loss = 8.3257
Epoch 3: Loss = 8.3257
After 500 sentences: Train Accuracy = 0.9767, Dev Accuracy = 0.8225, Time = 3.46s, Estimated Time Left = 100.21s
After 1000 sentences: Train Accuracy = 0.9926, Dev Accuracy = 0.8238, Time = 3.44s, Estimated Time Left = 96.31s
After 1500 sentences: Train Accuracy = 0.9896, Dev Accuracy = 0.8253, Time = 3.40s, Estimated Time Left = 91.66s
After 2000 sentences: Train Accuracy = 0.9910, Dev Accuracy = 0.8229, Time = 3.40s, Estimated Time Left = 88.19s
After 2500 sentences: Train Accuracy = 0.9889, Dev Accuracy = 0.8222, Time = 3.37s, Estimated Time Left = 84.21s
After 3000 sentences: Train Accuracy = 0.9869, Dev Accuracy = 0.8238, Time = 3.36s, Estimated Time Left = 80.44s
After 3500 sentences: Train Accuracy = 0.9946, Dev Accuracy = 0.8233, Time = 3.38s, Estimated Time Left = 77.67s
After 4000 sentences: Train Accuracy = 0.9863, Dev Accuracy = 0.8216, Time = 3.40s, Estimated Time Left = 74.79s
After 4500 sentences: Train Accuracy = 0.9882, Dev Accuracy = 0.8241, Time = 3.41s, Estimated Time Left = 71.52s
After 5000 sentences: Train Accuracy = 0.9895, Dev Accuracy = 0.8231, Time = 3.40s, Estimated Time Left = 68.01s
After 5500 sentences: Train Accuracy = 0.9926, Dev Accuracy = 0.8219, Time = 3.40s, Estimated Time Left = 64.52s
After 6000 sentences: Train Accuracy = 0.9861, Dev Accuracy = 0.8213, Time = 3.40s, Estimated Time Left = 61.09s
After 6500 sentences: Train Accuracy = 0.9905, Dev Accuracy = 0.8226, Time = 3.39s, Estimated Time Left = 57.59s
After 7000 sentences: Train Accuracy = 0.9909, Dev Accuracy = 0.8240, Time = 3.38s, Estimated Time Left = 54.06s
After 7500 sentences: Train Accuracy = 0.9753, Dev Accuracy = 0.8235, Time = 3.38s, Estimated Time Left = 50.59s
After 8000 sentences: Train Accuracy = 0.9892, Dev Accuracy = 0.8246, Time = 3.38s, Estimated Time Left = 47.18s
After 8500 sentences: Train Accuracy = 0.9774, Dev Accuracy = 0.8235, Time = 3.37s, Estimated Time Left = 43.78s
After 9000 sentences: Train Accuracy = 0.9796, Dev Accuracy = 0.8235, Time = 3.37s, Estimated Time Left = 40.35s
After 9500 sentences: Train Accuracy = 1.0000, Dev Accuracy = 0.8225, Time = 3.37s, Estimated Time Left = 36.95s
After 10000 sentences: Train Accuracy = 0.9883, Dev Accuracy = 0.8209, Time = 3.37s, Estimated Time Left = 33.57s
After 10500 sentences: Train Accuracy = 0.9875, Dev Accuracy = 0.8229, Time = 3.36s, Estimated Time Left = 30.18s
After 11000 sentences: Train Accuracy = 0.9820, Dev Accuracy = 0.8237, Time = 3.36s, Estimated Time Left = 26.80s
After 11500 sentences: Train Accuracy = 0.9743, Dev Accuracy = 0.8224, Time = 3.36s, Estimated Time Left = 23.44s
After 12000 sentences: Train Accuracy = 0.9926, Dev Accuracy = 0.8252, Time = 3.36s, Estimated Time Left = 20.06s
After 12500 sentences: Train Accuracy = 0.9880, Dev Accuracy = 0.8230, Time = 3.36s, Estimated Time Left = 16.71s
After 13000 sentences: Train Accuracy = 0.9840, Dev Accuracy = 0.8253, Time = 3.36s, Estimated Time Left = 13.35s
After 13500 sentences: Train Accuracy = 0.9927, Dev Accuracy = 0.8229, Time = 3.36s, Estimated Time Left = 9.98s
After 14000 sentences: Train Accuracy = 0.9854, Dev Accuracy = 0.8244, Time = 3.36s, Estimated Time Left = 6.62s
After 14500 sentences: Train Accuracy = 0.9906, Dev Accuracy = 0.8266, Time = 3.35s, Estimated Time Left = 3.27s
