After 26000 sentences: Train Accuracy = 0.9674, Dev Accuracy = 0.9546, Time = 3.12s, Estimated Time Left = 73.83s
After 26500 sentences: Train Accuracy = 0.9682, Dev Accuracy = 0.9546, Time = 3.12s, Estimated Time Left = 70.77s
After 27000 sentences: Train Accuracy = 0.9709, Dev Accuracy = 0.9554, Time = 3.12s, Estimated Time Left = 67.69s
After 27500 sentences: Train Accuracy = 0.9696, Dev Accuracy = 0.9556, Time = 3.12s, Estimated Time Left = 64.51s
After 28000 sentences: Train Accuracy = 0.9724, Dev Accuracy = 0.9571, Time = 3.12s, Estimated Time Left = 61.35s
After 28500 sentences: Train Accuracy = 0.9694, Dev Accuracy = 0.9568, Time = 3.12s, Estimated Time Left = 58.19s
After 29000 sentences: Train Accuracy = 0.9705, Dev Accuracy = 0.9574, Time = 3.12s, Estimated Time Left = 55.05s
After 29500 sentences: Train Accuracy = 0.9763, Dev Accuracy = 0.9557, Time = 3.12s, Estimated Time Left = 51.91s
After 30000 sentences: Train Accuracy = 0.9710, Dev Accuracy = 0.9572, Time = 3.11s, Estimated Time Left = 48.79s
After 30500 sentences: Train Accuracy = 0.9726, Dev Accuracy = 0.9569, Time = 3.11s, Estimated Time Left = 45.68s
After 31000 sentences: Train Accuracy = 0.9723, Dev Accuracy = 0.9582, Time = 3.12s, Estimated Time Left = 42.58s
After 31500 sentences: Train Accuracy = 0.9751, Dev Accuracy = 0.9583, Time = 3.12s, Estimated Time Left = 39.46s
After 32000 sentences: Train Accuracy = 0.9732, Dev Accuracy = 0.9580, Time = 3.12s, Estimated Time Left = 36.36s
After 32500 sentences: Train Accuracy = 0.9715, Dev Accuracy = 0.9580, Time = 3.12s, Estimated Time Left = 33.28s
After 33000 sentences: Train Accuracy = 0.9738, Dev Accuracy = 0.9589, Time = 3.12s, Estimated Time Left = 30.15s
After 33500 sentences: Train Accuracy = 0.9755, Dev Accuracy = 0.9586, Time = 3.12s, Estimated Time Left = 27.02s
After 34000 sentences: Train Accuracy = 0.9767, Dev Accuracy = 0.9583, Time = 3.12s, Estimated Time Left = 23.91s
After 34500 sentences: Train Accuracy = 0.9738, Dev Accuracy = 0.9581, Time = 3.12s, Estimated Time Left = 20.79s
After 35000 sentences: Train Accuracy = 0.9776, Dev Accuracy = 0.9592, Time = 3.12s, Estimated Time Left = 17.68s
After 35500 sentences: Train Accuracy = 0.9783, Dev Accuracy = 0.9585, Time = 3.12s, Estimated Time Left = 14.56s
After 36000 sentences: Train Accuracy = 0.9767, Dev Accuracy = 0.9594, Time = 3.12s, Estimated Time Left = 11.44s
After 36500 sentences: Train Accuracy = 0.9781, Dev Accuracy = 0.9606, Time = 3.12s, Estimated Time Left = 8.32s
After 37000 sentences: Train Accuracy = 0.9777, Dev Accuracy = 0.9590, Time = 3.12s, Estimated Time Left = 5.20s
After 37500 sentences: Train Accuracy = 0.9773, Dev Accuracy = 0.9602, Time = 3.12s, Estimated Time Left = 2.07s
Epoch 1: Train Loss = 112.6787, Dev Loss = 289.5643
Epoch 1: Loss = 289.5643
After 500 sentences: Train Accuracy = 0.9783, Dev Accuracy = 0.9587, Time = 3.31s, Estimated Time Left = 247.19s
After 1000 sentences: Train Accuracy = 0.9721, Dev Accuracy = 0.9585, Time = 3.30s, Estimated Time Left = 243.42s
After 1500 sentences: Train Accuracy = 0.9759, Dev Accuracy = 0.9587, Time = 3.28s, Estimated Time Left = 238.39s
After 2000 sentences: Train Accuracy = 0.9763, Dev Accuracy = 0.9586, Time = 3.23s, Estimated Time Left = 231.66s
After 2500 sentences: Train Accuracy = 0.9772, Dev Accuracy = 0.9591, Time = 3.19s, Estimated Time Left = 225.69s
After 3000 sentences: Train Accuracy = 0.9733, Dev Accuracy = 0.9598, Time = 3.18s, Estimated Time Left = 221.57s
After 3500 sentences: Train Accuracy = 0.9739, Dev Accuracy = 0.9595, Time = 3.17s, Estimated Time Left = 217.47s
After 4000 sentences: Train Accuracy = 0.9776, Dev Accuracy = 0.9594, Time = 3.15s, Estimated Time Left = 212.97s
After 4500 sentences: Train Accuracy = 0.9771, Dev Accuracy = 0.9592, Time = 3.13s, Estimated Time Left = 208.86s
After 5000 sentences: Train Accuracy = 0.9763, Dev Accuracy = 0.9589, Time = 3.11s, Estimated Time Left = 204.52s
After 5500 sentences: Train Accuracy = 0.9775, Dev Accuracy = 0.9598, Time = 3.10s, Estimated Time Left = 200.53s
After 6000 sentences: Train Accuracy = 0.9744, Dev Accuracy = 0.9592, Time = 3.09s, Estimated Time Left = 197.00s
After 6500 sentences: Train Accuracy = 0.9747, Dev Accuracy = 0.9590, Time = 3.09s, Estimated Time Left = 193.48s
After 7000 sentences: Train Accuracy = 0.9769, Dev Accuracy = 0.9591, Time = 3.08s, Estimated Time Left = 189.78s
After 7500 sentences: Train Accuracy = 0.9776, Dev Accuracy = 0.9597, Time = 3.09s, Estimated Time Left = 187.34s
After 8000 sentences: Train Accuracy = 0.9751, Dev Accuracy = 0.9586, Time = 3.10s, Estimated Time Left = 184.91s
After 8500 sentences: Train Accuracy = 0.9798, Dev Accuracy = 0.9601, Time = 3.10s, Estimated Time Left = 181.94s
