After 10500 sentences: Train Accuracy = 0.9701, Dev Accuracy = 0.7257, Time = 3.65s, Estimated Time Left = 32.71s
After 11000 sentences: Train Accuracy = 0.9559, Dev Accuracy = 0.7260, Time = 3.64s, Estimated Time Left = 29.04s
After 11500 sentences: Train Accuracy = 0.9666, Dev Accuracy = 0.7266, Time = 3.64s, Estimated Time Left = 25.38s
After 12000 sentences: Train Accuracy = 0.9690, Dev Accuracy = 0.7297, Time = 3.64s, Estimated Time Left = 21.75s
After 12500 sentences: Train Accuracy = 0.9608, Dev Accuracy = 0.7311, Time = 3.64s, Estimated Time Left = 18.13s
After 13000 sentences: Train Accuracy = 0.9637, Dev Accuracy = 0.7355, Time = 3.64s, Estimated Time Left = 14.48s
After 13500 sentences: Train Accuracy = 0.9815, Dev Accuracy = 0.7360, Time = 3.64s, Estimated Time Left = 10.82s
After 14000 sentences: Train Accuracy = 0.9763, Dev Accuracy = 0.7355, Time = 3.64s, Estimated Time Left = 7.18s
After 14500 sentences: Train Accuracy = 0.9897, Dev Accuracy = 0.7329, Time = 3.64s, Estimated Time Left = 3.54s
After 15000 sentences: Train Accuracy = 0.9963, Dev Accuracy = 0.7330, Time = 3.64s, Estimated Time Left = -0.09s
Epoch 2: Train Loss = 8.5795, Dev Loss = 31.4462
Epoch 2: Loss = 31.4462
After 500 sentences: Train Accuracy = 0.9868, Dev Accuracy = 0.7339, Time = 3.62s, Estimated Time Left = 104.77s
After 1000 sentences: Train Accuracy = 0.9794, Dev Accuracy = 0.7347, Time = 3.65s, Estimated Time Left = 102.08s
After 1500 sentences: Train Accuracy = 0.9800, Dev Accuracy = 0.7338, Time = 3.68s, Estimated Time Left = 99.31s
After 2000 sentences: Train Accuracy = 0.9702, Dev Accuracy = 0.7324, Time = 3.68s, Estimated Time Left = 95.61s
After 2500 sentences: Train Accuracy = 0.9878, Dev Accuracy = 0.7314, Time = 3.68s, Estimated Time Left = 91.97s
After 3000 sentences: Train Accuracy = 0.9819, Dev Accuracy = 0.7312, Time = 3.69s, Estimated Time Left = 88.50s
After 3500 sentences: Train Accuracy = 0.9856, Dev Accuracy = 0.7314, Time = 3.69s, Estimated Time Left = 84.67s
After 4000 sentences: Train Accuracy = 0.9740, Dev Accuracy = 0.7345, Time = 3.69s, Estimated Time Left = 81.05s
After 4500 sentences: Train Accuracy = 0.9804, Dev Accuracy = 0.7348, Time = 3.69s, Estimated Time Left = 77.45s
After 5000 sentences: Train Accuracy = 0.9739, Dev Accuracy = 0.7344, Time = 3.69s, Estimated Time Left = 73.76s
After 5500 sentences: Train Accuracy = 0.9828, Dev Accuracy = 0.7337, Time = 3.70s, Estimated Time Left = 70.22s
After 6000 sentences: Train Accuracy = 0.9824, Dev Accuracy = 0.7339, Time = 3.70s, Estimated Time Left = 66.56s
After 6500 sentences: Train Accuracy = 0.9843, Dev Accuracy = 0.7326, Time = 3.74s, Estimated Time Left = 63.57s
After 7000 sentences: Train Accuracy = 0.9868, Dev Accuracy = 0.7313, Time = 3.74s, Estimated Time Left = 59.81s
After 7500 sentences: Train Accuracy = 0.9654, Dev Accuracy = 0.7337, Time = 3.74s, Estimated Time Left = 56.05s
After 8000 sentences: Train Accuracy = 0.9828, Dev Accuracy = 0.7314, Time = 3.74s, Estimated Time Left = 52.22s
After 8500 sentences: Train Accuracy = 0.9887, Dev Accuracy = 0.7340, Time = 3.73s, Estimated Time Left = 48.42s
After 9000 sentences: Train Accuracy = 0.9945, Dev Accuracy = 0.7333, Time = 3.73s, Estimated Time Left = 44.72s
After 9500 sentences: Train Accuracy = 0.9850, Dev Accuracy = 0.7296, Time = 3.73s, Estimated Time Left = 40.98s
After 10000 sentences: Train Accuracy = 0.9765, Dev Accuracy = 0.7331, Time = 3.74s, Estimated Time Left = 37.32s
After 10500 sentences: Train Accuracy = 0.9835, Dev Accuracy = 0.7346, Time = 3.74s, Estimated Time Left = 33.53s
After 11000 sentences: Train Accuracy = 0.9875, Dev Accuracy = 0.7350, Time = 3.74s, Estimated Time Left = 29.79s
After 11500 sentences: Train Accuracy = 0.9769, Dev Accuracy = 0.7345, Time = 3.74s, Estimated Time Left = 26.06s
After 12000 sentences: Train Accuracy = 0.9888, Dev Accuracy = 0.7351, Time = 3.74s, Estimated Time Left = 22.33s
After 12500 sentences: Train Accuracy = 0.9793, Dev Accuracy = 0.7337, Time = 3.74s, Estimated Time Left = 18.58s
After 13000 sentences: Train Accuracy = 0.9870, Dev Accuracy = 0.7336, Time = 3.76s, Estimated Time Left = 14.93s
After 13500 sentences: Train Accuracy = 0.9758, Dev Accuracy = 0.7332, Time = 3.78s, Estimated Time Left = 11.25s
After 14000 sentences: Train Accuracy = 0.9779, Dev Accuracy = 0.7308, Time = 3.79s, Estimated Time Left = 7.48s
After 14500 sentences: Train Accuracy = 0.9580, Dev Accuracy = 0.7334, Time = 3.79s, Estimated Time Left = 3.69s
After 15000 sentences: Train Accuracy = 0.9799, Dev Accuracy = 0.7326, Time = 3.80s, Estimated Time Left = -0.10s
Epoch 3: Train Loss = 6.5148, Dev Loss = 7.9208
Epoch 3: Loss = 7.9208
After 500 sentences: Train Accuracy = 0.9793, Dev Accuracy = 0.7322, Time = 3.61s, Estimated Time Left = 104.46s
After 1000 sentences: Train Accuracy = 0.9862, Dev Accuracy = 0.7341, Time = 3.66s, Estimated Time Left = 102.42s
After 1500 sentences: Train Accuracy = 0.9819, Dev Accuracy = 0.7329, Time = 3.64s, Estimated Time Left = 98.15s
After 2000 sentences: Train Accuracy = 0.9894, Dev Accuracy = 0.7347, Time = 3.61s, Estimated Time Left = 93.89s
After 2500 sentences: Train Accuracy = 0.9823, Dev Accuracy = 0.7341, Time = 3.60s, Estimated Time Left = 89.85s
After 3000 sentences: Train Accuracy = 0.9786, Dev Accuracy = 0.7361, Time = 3.59s, Estimated Time Left = 86.10s
After 3500 sentences: Train Accuracy = 0.9834, Dev Accuracy = 0.7348, Time = 3.59s, Estimated Time Left = 82.46s
After 4000 sentences: Train Accuracy = 0.9965, Dev Accuracy = 0.7302, Time = 3.59s, Estimated Time Left = 78.98s
After 4500 sentences: Train Accuracy = 0.9789, Dev Accuracy = 0.7334, Time = 3.60s, Estimated Time Left = 75.44s
After 5000 sentences: Train Accuracy = 0.9866, Dev Accuracy = 0.7347, Time = 3.60s, Estimated Time Left = 71.90s
After 5500 sentences: Train Accuracy = 0.9718, Dev Accuracy = 0.7322, Time = 3.62s, Estimated Time Left = 68.62s
After 6000 sentences: Train Accuracy = 0.9834, Dev Accuracy = 0.7360, Time = 3.61s, Estimated Time Left = 64.87s
After 6500 sentences: Train Accuracy = 0.9898, Dev Accuracy = 0.7350, Time = 3.62s, Estimated Time Left = 61.45s
After 7000 sentences: Train Accuracy = 0.9796, Dev Accuracy = 0.7334, Time = 3.65s, Estimated Time Left = 58.26s
After 7500 sentences: Train Accuracy = 0.9876, Dev Accuracy = 0.7312, Time = 3.68s, Estimated Time Left = 55.17s
After 8000 sentences: Train Accuracy = 0.9805, Dev Accuracy = 0.7324, Time = 3.72s, Estimated Time Left = 51.94s
After 8500 sentences: Train Accuracy = 0.9842, Dev Accuracy = 0.7327, Time = 3.74s, Estimated Time Left = 48.59s
After 9000 sentences: Train Accuracy = 0.9815, Dev Accuracy = 0.7323, Time = 3.77s, Estimated Time Left = 45.14s
After 9500 sentences: Train Accuracy = 0.9835, Dev Accuracy = 0.7349, Time = 3.79s, Estimated Time Left = 41.56s
After 10000 sentences: Train Accuracy = 0.9935, Dev Accuracy = 0.7357, Time = 3.80s, Estimated Time Left = 37.90s
After 10500 sentences: Train Accuracy = 0.9848, Dev Accuracy = 0.7347, Time = 3.83s, Estimated Time Left = 34.35s
After 11000 sentences: Train Accuracy = 0.9926, Dev Accuracy = 0.7310, Time = 3.86s, Estimated Time Left = 30.77s
After 11500 sentences: Train Accuracy = 0.9772, Dev Accuracy = 0.7341, Time = 3.89s, Estimated Time Left = 27.10s
After 12000 sentences: Train Accuracy = 0.9920, Dev Accuracy = 0.7340, Time = 3.90s, Estimated Time Left = 23.30s
After 12500 sentences: Train Accuracy = 0.9802, Dev Accuracy = 0.7324, Time = 3.91s, Estimated Time Left = 19.43s
After 13000 sentences: Train Accuracy = 0.9827, Dev Accuracy = 0.7341, Time = 3.91s, Estimated Time Left = 15.56s
After 13500 sentences: Train Accuracy = 0.9768, Dev Accuracy = 0.7358, Time = 3.93s, Estimated Time Left = 11.67s
After 14000 sentences: Train Accuracy = 0.9870, Dev Accuracy = 0.7301, Time = 3.94s, Estimated Time Left = 7.78s
After 14500 sentences: Train Accuracy = 0.9675, Dev Accuracy = 0.7330, Time = 3.95s, Estimated Time Left = 3.85s
After 15000 sentences: Train Accuracy = 0.9895, Dev Accuracy = 0.7333, Time = 3.97s, Estimated Time Left = -0.10s
Epoch 4: Train Loss = 6.4815, Dev Loss = 6.5380
Epoch 4: Loss = 6.5380
After 500 sentences: Train Accuracy = 0.9901, Dev Accuracy = 0.7352, Time = 4.19s, Estimated Time Left = 121.51s
After 1000 sentences: Train Accuracy = 0.9855, Dev Accuracy = 0.7352, Time = 4.19s, Estimated Time Left = 117.09s
After 1500 sentences: Train Accuracy = 0.9907, Dev Accuracy = 0.7338, Time = 4.08s, Estimated Time Left = 110.17s
After 2000 sentences: Train Accuracy = 0.9855, Dev Accuracy = 0.7342, Time = 3.97s, Estimated Time Left = 103.19s
After 2500 sentences: Train Accuracy = 0.9832, Dev Accuracy = 0.7338, Time = 3.92s, Estimated Time Left = 97.78s
After 3000 sentences: Train Accuracy = 0.9833, Dev Accuracy = 0.7354, Time = 3.88s, Estimated Time Left = 93.01s
After 3500 sentences: Train Accuracy = 0.9916, Dev Accuracy = 0.7348, Time = 3.84s, Estimated Time Left = 88.13s
